Pais,Año,PBI
Senegal,1992,1367.899369
Sudáfrica,1982,8568.266228
Haití,2002,1270.364932
Guatemala,1982,4820.49479
Mauricio,1957,2034.037981
Filipinas,1972,1989.37407
Togo,1992,1034.298904
Myanmar,1982,424.0
Gambia,2002,660.5855997
Eritrea,2007,641.3695236
Kuwait,1957,113523.1329
Yemen,1997,2117.484526
Argelia,1977,4910.416756
Serbia,1952,3581.459448
Comoras,1992,1246.90737
Chile,1962,4519.094331
Venezuela,1957,9802.466526
Colombia,1962,2492.351109
"Corea, Rep.",1967,2029.228142
Irán,1977,11888.59508
Swazilandia,1987,3984.839812
Zimbabue,1977,685.5876821
Reunión,1962,3173.72334
Brasil,1967,3429.864357
Sri Lanka,1952,1083.53203
Togo,2002,886.2205765
Ghana,1992,925.060154
Mongolia,1982,2000.603139
Nicaragua,1977,5486.371089
Congo,1987,4201.194937
Libia,1977,21951.21176
Honduras,1977,3203.208066
Omán,1977,11848.34392
Siria,1972,2571.423014
Madagascar,2002,894.6370822
Bolivia,1987,2753.69149
Costa Rica,1952,2627.009471
Lesoto,1987,773.9932141
Iraq,2002,4390.717312
Turquía,1972,3450.69638
Iraq,1972,9576.037596
Togo,1987,1202.201361
Baréin,1962,12753.27514
Niger,2007,619.6768924
Gabón,2002,12521.71392
Camboya,2002,896.2260153
República Dominicana,1967,1653.723003
Gabón,2007,13206.48452
Benin,2007,1441.284873
El Salvador,1977,5138.922374
Congo,1982,4879.507522
Ecuador,1967,4579.074215
Haití,1997,1341.726931
"Corea, Rep. Dem.",1962,1621.693598
El Salvador,1982,4098.344175
India,1982,855.7235377
Gabón,1982,15113.36194
Camboya,1997,734.28517
Territorios Palestinos,1972,3133.409277
Jordania,1972,2110.856309
Santo Tomé y Príncipe,1972,1532.985254
Namibia,1977,3876.485958
Congo,1992,4016.239529
Filipinas,1967,1814.12743
Sudán,2002,1993.398314
Indonesia,1982,1516.872988
Pakistán,1982,1443.429832
Kenia,1977,1267.613204
Mauritania,1987,1421.603576
Chile,1957,4315.622723
Tailandia,1962,1002.199172
Myanmar,1977,371.0
Guatemala,1977,4879.992748
Botswana,1972,2263.611114
Bangladesh,1992,837.8101643
Guinea,2007,942.6542111
Egipto,1982,3503.729636
Líbano,1952,4834.804067
Gambia,1997,653.7301704
El Salvador,1967,4358.595393
Camboya,1992,682.3031755
Senegal,1987,1441.72072
Vietnam,1977,713.5371196
Malasia,1962,2036.884944
Marruecos,1977,2370.619976
Ghana,1987,847.0061135
Nepal,1992,897.7403604
Brasil,1962,3336.585802
Zimbabue,1972,799.3621758
Congo,1977,3259.178978
Túnez,1972,2753.285994
Yemen,1992,1879.496673
Kuwait,1952,108382.3529
Swazilandia,1982,3895.384018
Lesoto,1997,1186.147994
Sudáfrica,1977,8028.651439
Mongolia,1977,1647.511665
Togo,1982,1344.577953
Perú,1972,5937.827283
Sudán,1997,1632.210764
Congo,2007,3632.557798
"Corea, Rep.",1962,1536.344387
Eritrea,2002,765.3500015
Irán,1972,9613.818607
Albania,1952,1601.056136
Panamá,1952,2480.380334
México,1957,4131.546641
Nicaragua,1972,4688.593267
Colombia,1957,2323.805581
Reunión,1957,2769.451844
Haití,1992,1456.309517
Venezuela,1952,7689.799761
Lesoto,1982,797.2631074
Camerún,1987,2602.664206
Madagascar,1997,986.2958956
Comoras,1987,1315.980812
Congo,1972,3213.152683
Yibuti,2007,2082.481567
Benin,1997,1232.975292
Filipinas,1962,1649.552153
Chile,1952,3939.978789
Costa de Marfil,1987,2156.956069
Ecuador,1962,4086.114078
Argelia,1972,4182.663766
Niger,2002,601.0745012
Malí,2007,1042.581557
Iraq,1967,8931.459811
Santo Tomé y Príncipe,1967,1384.840593
Kenia,1997,1360.485021
Benin,2002,1372.877931
Turquía,1967,2826.356387
Camerún,1992,1793.163278
Swazilandia,1997,3876.76846
India,1977,813.337323
Kenia,2007,1463.249282
"Corea, Rep. Dem.",1957,1571.134655
Pakistán,1977,1175.921193
Zimbabue,1967,569.7950712
Costa de Marfil,1982,2602.710169
Benin,1992,1191.207681
Camboya,1987,683.8955732
Arabia Saudita,1972,24837.42865
Honduras,1972,2529.842345
Namibia,1972,3746.080948
Bolivia,1982,3156.510452
Baréin,1957,11635.79945
Bosnia y Herzegovina,1952,973.5331948
Mongolia,1972,1421.741975
Ghana,1982,876.032569
Guatemala,1972,4031.408271
Sudáfrica,1972,7765.962636
Guinea,2002,945.5835837
Siria,1967,1881.923632
Haití,1987,1823.015995
Tailandia,1957,793.5774148
Mauritania,1982,1481.150189
Kenia,1972,1222.359968
Sudán,1992,1492.197043
República Dominicana,1962,1662.137359
Eritrea,1997,913.47079
Yibuti,2002,1908.260867
Sudáfrica,2002,7710.946444
Egipto,1977,2785.493582
Botswana,1967,1214.709294
Brasil,1957,2487.365989
Yibuti,1997,1895.016984
Myanmar,1972,357.0
Congo,2002,3484.06197
Congo,1997,3484.164376
Camerún,1982,2367.983282
Etiopía,2007,690.8055759
Comoras,1982,1267.100083
Yemen,1987,1971.741538
Namibia,2007,4811.060429
Togo,1977,1532.776998
Marruecos,1972,1930.194975
Bangladesh,1987,751.9794035
Gabón,1977,21745.57328
Libia,1972,21011.49721
Reunión,1952,2718.885295
Indonesia,1977,1382.702056
"Corea, Rep.",1957,1487.593537
Gambia,1992,665.6244126
Botswana,1997,8647.142313
Nepal,1987,775.6324501
Swazilandia,1977,3781.410618
Tanzania,2007,1107.482182
Irán,1967,5906.731805
Senegal,1982,1518.479984
Costa de Marfil,1977,2517.736547
Zimbabue,1962,527.2721818
Benin,1987,1225.85601
El Salvador,1962,3776.803627
Burkina Faso,2007,1217.032994
Madagascar,1992,1040.67619
Lesoto,1977,745.3695408
Camerún,1997,1694.337469
Omán,1972,10618.03855
Malasia,1957,1810.066992
Turquía,1962,2322.869908
Túnez,1967,1932.360167
Costa de Marfil,1992,1648.073791
Congo,1967,2677.939642
Pakistán,1972,1049.938981
Sudáfrica,1967,7114.477971
Santo Tomé y Príncipe,1962,1071.551119
Nicaragua,1967,4643.393534
Zambia,1982,1408.678565
Malí,2002,951.4097518
Ghana,1977,993.2239571
Sudán,1987,1507.819159
Chad,1992,1058.0643
Territorios Palestinos,1967,2649.715007
Jordania,1967,2741.796252
Yibuti,1992,2377.156192
Guinea Ecuatorial,2007,12154.08975
Chad,1997,1004.961353
Uganda,2007,1056.380121
Tanzania,1987,831.8220794
Botswana,1962,983.6539764
Uganda,1987,617.7244065
Namibia,2002,4072.324751
Haití,1982,2011.159549
Iraq,1962,8341.737815
Guinea,1997,869.4497668
Perú,1967,5788.09333
Argelia,1967,3246.991771
Zambia,1977,1588.688299
Ecuador,1957,3780.546651
Filipinas,1957,1547.944844
Niger,1997,580.3052092
Mongolia,1967,1226.04113
Namibia,1967,3793.694753
Egipto,1972,2024.008147
Chad,1987,952.386129
Uganda,1972,950.735869
Kenia,2002,1287.514732
Mauricio,1952,1967.955707
Camboya,1982,624.4754784
Baréin,1952,9867.084765
Comoras,1977,1172.603047
Honduras,1967,2538.269358
Brasil,1952,2108.944355
Benin,1982,1277.897616
Mauritania,1977,1497.492223
Tailandia,1952,757.7974177
Zambia,1987,1213.315116
México,1952,3478.125529
Botswana,2007,12569.85177
Etiopía,2002,530.0535319
Kenia,1967,1056.736457
India,1972,724.032527
Chad,2007,1704.063724
Burkina Faso,2002,1037.645221
Colombia,1952,2144.115096
Tanzania,1982,874.2426069
China,1957,575.9870009
Chad,2002,1156.18186
República Centroafricana,1987,844.8763504
Zimbabue,1957,518.7642681
Tanzania,1992,825.682454
Camerún,2007,2042.09524
Uganda,1977,843.7331372
Sudán,1982,1895.544073
Marruecos,1967,1711.04477
Burkina Faso,1997,946.2949618
Siria,1962,2193.037133
Burkina Faso,1992,931.7527731
Vietnam,1972,699.5016441
Libia,1967,18772.75169
Zambia,1972,1773.498265
"Corea, Rep. Dem.",1952,1088.277758
Yibuti,1987,2880.102568
Bolivia,1977,3548.097832
Guatemala,1967,3242.531147
Bangladesh,1982,676.9818656
Eritrea,1992,582.8585102
Sudáfrica,1962,5768.729717
Haití,1977,1874.298931
Tanzania,1977,962.4922932
Malí,1997,790.2579846
Arabia Saudita,1967,16903.04886
Ghana,1972,1178.223708
Camerún,2002,1934.011449
Uganda,1982,682.2662268
República Dominicana,1957,1544.402995
Costa de Marfil,1972,2378.201111
Pakistán,1967,942.4082588
Lesoto,1972,496.5815922
Togo,1972,1649.660188
Tanzania,2002,899.0742111
Botswana,1957,918.2325349
Nepal,1982,718.3730947
Burundi,2007,430.0706916
Túnez,1962,1660.30321
Burkina Faso,1987,912.0631417
Swazilandia,1972,3364.836625
Chad,1982,797.9081006
Malaui,1992,563.2000145
Etiopía,1997,515.8894013
República Centroafricana,1992,747.9055252
Myanmar,1967,349.0
Camerún,1977,1783.432873
Madagascar,1987,1155.441948
Guinea Ecuatorial,2002,7703.4959
Sudáfrica,2007,9269.657808
Irán,1962,4187.329802
Egipto,1967,1814.880728
Gambia,1987,611.6588611
Indonesia,1972,1111.107907
Benin,1977,1029.161251
Yemen,1982,1977.55701
Perú,1962,4957.037982
Madagascar,1982,1302.878658
Santo Tomé y Príncipe,1957,860.7369026
Comoras,1972,1937.577675
Senegal,1977,1561.769116
Uganda,1992,644.1707969
Yibuti,1982,2879.468067
Gabón,1972,11401.94841
Nicaragua,1962,3634.364406
Guinea,1992,794.3484384
El Salvador,1957,3421.523218
Lesoto,1967,498.6390265
Tanzania,1997,789.1862231
Malasia,1952,1831.132894
Zimbabue,1952,406.8841148
Mauritania,1972,1586.851781
Iraq,1957,6229.333562
Congo,1962,2464.783157
Malí,1992,739.014375
Namibia,1962,3173.215595
Ecuador,1952,3522.110717
Costa de Marfil,2007,1544.750112
Malaui,2007,759.3499101
Argelia,1962,2550.81688
República Centroafricana,1982,956.7529907
Siria,1957,2117.234893
Mongolia,1962,1056.353958
Guinea Ecuatorial,1997,2814.480755
Burundi,1987,621.8188189
Somalia,2007,926.1410683
Territorios Palestinos,1962,2198.956312
Jordania,1962,2348.009158
Burkina Faso,1982,807.1985855
Etiopía,1992,421.3534653
Turquía,1957,2218.754257
Ghana,1967,1125.69716
Uganda,1967,908.9185217
Haití,1972,1654.456946
Honduras,1962,2291.156835
Costa de Marfil,1997,1786.265407
Sudáfrica,1957,5487.104219
Kenia,1962,896.9663732
Marruecos,1962,1566.353493
Vietnam,1967,637.1232887
Uganda,2002,927.7210018
Libia,1962,6757.030816
República Democrática del Congo,1977,795.757282
Sudán,1977,2202.988423
República Democrática del Congo,1982,673.7478181
Zambia,1967,1777.077318
Filipinas,1952,1272.880995
Lesoto,1962,411.8006266
Pakistán,1962,803.3427418
Botswana,1952,851.2411407
Tanzania,1972,915.9850592
Guinea Ecuatorial,1992,1132.055034
Malaui,1997,692.2758103
Nigeria,1992,1619.848217
Burundi,1982,559.603231
Nigeria,1997,1624.941275
Malaui,1987,635.5173634
"Corea, Rep.",1952,1030.592226
República Democrática del Congo,1987,672.774812
Niger,1992,581.182725
Chad,1977,1133.98495
Burundi,2002,446.4035126
Costa de Marfil,1967,2052.050473
India,1967,700.7706107
Irán,1957,3290.257643
Túnez,1957,1395.232468
Camerún,1972,1684.146528
Benin,1972,1085.796879
Egipto,1962,1693.335853
Omán,1967,4720.942687
Guatemala,1962,2750.364446
Bangladesh,1977,659.8772322
Nigeria,1987,1385.029563
Madagascar,1977,1544.228586
Nigeria,2007,2013.977305
Costa de Marfil,2002,1648.800823
Zimbabue,1997,792.4499603
República Centroafricana,1977,1109.374338
Togo,1967,1477.59676
Nepal,1977,694.1124398
Bolivia,1972,2980.331339
Etiopía,1987,573.7413142
Botswana,2002,11003.60508
Swazilandia,1967,2613.101665
Nigeria,2002,1615.286395
Yibuti,1977,3081.761022
Comoras,1967,1876.029643
Santo Tomé y Príncipe,1952,879.5835855
República Democrática del Congo,2007,277.5518587
Eritrea,1987,521.1341333
Ghana,1962,1190.041118
Guinea Bissau,2007,579.231743
Malí,1987,684.1715576
Mozambique,1997,472.3460771
Mauritania,1967,1421.145193
Perú,1957,4245.256698
Haití,1967,1452.057666
Ruanda,2007,863.0884639
Ruanda,1982,881.5706467
Burkina Faso,1977,743.3870368
Zambia,1992,1210.884633
República Centroafricana,1997,740.5063317
Liberia,1987,506.1138573
Zambia,1962,1452.725766
República Democrática del Congo,1972,904.8960685
Indonesia,1967,762.4317721
Somalia,2002,882.0818218
República Dominicana,1952,1397.717137
Arabia Saudita,1962,11626.41975
Burundi,1977,556.1032651
Siria,1952,1643.485354
Nigeria,1982,1576.97375
Senegal,1972,1597.712056
Tanzania,1967,848.2186575
Argelia,1957,3013.976023
Liberia,2007,414.5073415
Territorios Palestinos,1957,1827.067742
Jordania,1957,1886.080591
Guinea Ecuatorial,1987,966.8968149
Malaui,1982,632.8039209
Gambia,1982,835.8096108
Chad,1972,1104.103987
Pakistán,1957,747.0835292
Guinea,1987,805.5724718
República Democrática del Congo,1992,457.7191807
Guinea Bissau,2002,575.7047176
Nicaragua,1957,3457.415947
Marruecos,1957,1642.002314
Camboya,1967,523.4323142
Vietnam,1962,772.0491602
Uganda,1962,767.2717398
Burundi,1997,463.1151478
Iraq,1952,4129.766056
Libia,1957,3448.284395
El Salvador,1952,3048.3029
Bangladesh,1972,630.2336265
Mongolia,1957,912.6626085
Namibia,1957,2621.448058
Myanmar,1962,388.0
Sudán,1972,1659.652775
Congo,1957,2315.056572
Lesoto,1957,335.9971151
Bolivia,1967,2586.886053
Malaui,2002,665.4231186
Sudáfrica,1952,4725.295531
Ruanda,1977,670.0806011
Swazilandia,1962,1856.182125
República Democrática del Congo,2002,241.1658765
Costa de Marfil,1962,1728.869428
Etiopía,1982,577.8607471
Benin,1967,1035.831411
Guinea Bissau,1997,796.6644681
Irán,1952,3035.326002
Liberia,1982,572.1995694
Madagascar,1972,1748.562982
Camerún,1967,1508.453148
Ghana,1957,1043.561537
República Centroafricana,2007,706.016537
Burundi,1992,631.6998778
Kenia,1957,944.4383152
Honduras,1957,2220.487682
Túnez,1952,1468.475631
Ruanda,1972,590.5806638
Gabón,1967,8358.761987
Lesoto,2002,1275.184575
Uganda,1997,816.559081
Niger,1987,668.3000228
Eritrea,1977,505.7538077
Nigeria,1977,1981.951806
Etiopía,1977,556.8083834
China,1962,487.6740183
Somalia,1987,1093.244963
Comoras,1962,1406.648278
Egipto,1957,1458.915272
Yibuti,1972,3694.212352
Mozambique,1992,410.8968239
Mauritania,1962,1055.896036
Tanzania,1962,722.0038073
Yemen,1977,1829.765177
Eritrea,1972,514.3242082
Guatemala,1957,2617.155967
Ruanda,1967,510.9637142
Zambia,1957,1311.956766
Burundi,1972,464.0995039
República Democrática del Congo,1967,861.5932424
Mozambique,2002,633.6179466
Ruanda,1987,847.991217
China,1952,400.448611
Nepal,1972,674.7881296
Togo,1962,1067.53481
Malí,1982,618.0140641
Perú,1952,3758.523437
Eritrea,1982,524.8758493
Swazilandia,2002,4128.116943
Afganistán,2007,974.5803384
Somalia,1997,930.5964284
Malaui,1977,663.2236766
Liberia,1977,640.3224383
Liberia,2002,531.4823679
Guinea Ecuatorial,1982,927.8253427
India,1962,658.3471509
Chad,1967,1196.810565
Burkina Faso,1972,854.7359763
Haití,1962,1796.589032
Turquía,1952,1969.10098
Senegal,1967,1612.404632
Burundi,1967,412.9775136
Etiopía,1972,566.2439442
Zimbabue,2007,469.7092981
República Centroafricana,1972,1070.013275
Bangladesh,1967,721.1860862
Pakistán,1952,684.5971438
Bolivia,1962,2180.972546
Swazilandia,1957,1244.708364
Camboya,1962,496.9136476
Ruanda,2002,785.6537648
República Centroafricana,2002,738.6906068
Guinea Bissau,1992,745.5398706
Omán,1962,2924.638113
Territorios Palestinos,1952,1515.592329
Jordania,1952,1546.907807
Ghana,1952,911.2989371
Argelia,1952,2449.008185
Ruanda,1962,597.4730727
Tanzania,1957,698.5356073
Somalia,1982,1176.807031
Guinea,1982,857.2503577
Vietnam,1957,676.2854478
Madagascar,1967,1634.047282
Marruecos,1952,1688.20357
Arabia Saudita,1957,8157.591248
Mozambique,1987,389.8761846
Sudán,1967,1687.997641
Nigeria,1972,1698.388838
Mozambique,1982,462.2114149
Angola,2007,4797.231267
Libia,1952,2387.54806
Camerún,1962,1399.607441
Benin,1962,949.4990641
Liberia,1972,803.0054535
Niger,1982,909.7221354
Lesoto,2007,1569.331442
República Democrática del Congo,1997,312.188423
Uganda,1957,774.3710692
Sierra Leona,2007,862.5407561
Indonesia,1962,849.2897701
Mozambique,1977,502.3197334
Costa de Marfil,1957,1500.895925
Comoras,1957,1211.148548
Zambia,2007,1271.211593
Mauritania,1957,846.1202613
Nicaragua,1952,3112.363948
Kenia,1952,853.540919
Mongolia,1952,786.5668575
Liberia,1997,609.1739508
Eritrea,1967,468.7949699
Lesoto,1952,298.8462121
Afganistán,2002,726.7340548
República Democrática del Congo,1962,896.3146335
Etiopía,1967,516.1186438
Congo,1952,2125.621418
Mozambique,2007,823.6856205
Yibuti,1967,3020.050513
Burundi,1962,355.2032273
Zambia,1952,1147.388831
Guinea Ecuatorial,1977,958.5668124
Guatemala,1952,2428.237769
Somalia,1977,1450.992513
Honduras,1952,2194.926204
Myanmar,1957,350.0
Egipto,1952,1418.822445
Bolivia,1957,2127.686326
Gambia,1977,884.7552507
Malaui,1972,584.6219709
Afganistán,1997,635.341351
Namibia,1952,2423.780443
Chad,1962,1389.817618
Malí,1977,686.3952693
Afganistán,1992,649.3413952
Liberia,1967,713.6036483
Ruanda,1957,540.2893983
República Centroafricana,1967,1136.056615
Nepal,1967,676.4422254
Senegal,1962,1654.988723
Swazilandia,1952,1148.376626
Camboya,1957,434.0383364
Niger,1977,808.8970728
Guinea Bissau,1987,736.4153921
Bangladesh,1962,686.3415538
Tanzania,1952,716.6500721
Togo,1957,925.9083202
Nigeria,1967,1014.514104
Sierra Leona,2002,699.489713
Angola,2002,2773.287312
Somalia,1972,1254.576127
Angola,1997,2277.140884
Sudán,1962,1959.593767
Madagascar,1962,1643.38711
Afganistán,1987,852.3959448
Liberia,1992,636.6229191
Guinea,1977,874.6858643
Comoras,1952,1102.990936
Burkina Faso,1967,794.8265597
Haití,1957,1726.887882
República Democrática del Congo,1957,905.8602303
Angola,1992,2627.845685
Niger,1972,954.2092363
Mauritania,1952,743.1159097
Burundi,1957,379.5646281
Guinea Ecuatorial,1972,672.4122571
Liberia,1962,634.1951625
Gabón,1962,6631.459222
Costa de Marfil,1952,1388.594732
Camerún,1957,1313.048099
Bolivia,1952,2677.326347
Vietnam,1952,605.0664917
Benin,1957,959.6010805
Mozambique,1972,724.9178037
Camboya,1972,421.6240257
India,1957,590.061996
Zambia,1997,1071.353818
Eritrea,1962,380.9958433
Niger,1967,1054.384891
Omán,1957,2242.746551
Etiopía,1962,419.4564161
Sierra Leona,1987,1294.447788
Ruanda,1952,493.3238752
Zimbabue,2002,672.0386227
Uganda,1952,734.753484
Malí,1972,581.3688761
Angola,1982,2756.953672
Indonesia,1957,858.9002707
Angola,1987,2430.208311
Sierra Leona,1997,574.6481576
Chad,1957,1308.495577
Arabia Saudita,1952,6459.554823
Afganistán,1982,978.0114388
Yemen,1972,1265.047031
Yibuti,1962,3020.989263
Somalia,1992,926.9602964
Sudán,1957,1770.337074
Swazilandia,2007,4513.480643
Niger,1962,997.7661127
Malaui,1967,495.5147806
Liberia,1957,620.9699901
Angola,1977,3008.647355
República Centroafricana,1962,1193.068753
Camboya,1952,368.4692856
Nepal,1962,652.3968593
Nigeria,1962,1150.927478
Bangladesh,1957,661.6374577
Senegal,1957,1567.653006
Guinea Bissau,1982,838.1239671
Zambia,2002,1071.613938
República Democrática del Congo,1952,780.5423257
Burundi,1952,339.2964587
Gabón,1957,4976.198099
Guinea Ecuatorial,1967,915.5960025
Somalia,1967,1284.73318
Madagascar,1957,1589.20275
Guinea,1972,741.6662307
Sudán,1952,1615.991129
Niger,1957,835.5234025
Togo,1952,859.8086567
Camerún,1952,1172.667655
Malí,1967,545.0098873
Liberia,1952,575.5729961
Sierra Leona,1982,1465.010784
Afganistán,1977,786.11336
Malaui,1962,427.9010856
Sierra Leona,1992,1068.696278
Gambia,1972,756.0868363
Benin,1952,1062.7522
Mozambique,1967,566.6691539
Chad,1952,1178.665927
Eritrea,1957,344.1618859
Angola,1972,5473.288005
Burkina Faso,1962,722.5120206
Nigeria,1957,1100.592563
Nepal,1957,597.9363558
Haití,1952,1840.366939
Omán,1952,1828.230307
Guinea Ecuatorial,1962,582.8419714
Bangladesh,1952,684.2441716
Indonesia,1952,749.6816546
Guinea Bissau,1977,764.7259628
República Centroafricana,1957,1190.844328
Niger,1952,761.879376
India,1952,546.5657493
Yibuti,1957,2864.969076
Senegal,1952,1450.356983
Malaui,1957,416.3698064
Guinea,1967,708.7595409
Gabón,1952,4293.476475
Yemen,1967,862.4421463
Somalia,1962,1369.488336
Malí,1962,496.1743428
Sierra Leona,1977,1348.285159
Madagascar,1952,1443.011715
Etiopía,1957,378.9041632
Guinea Bissau,1972,820.2245876
Nigeria,1952,1077.281856
Myanmar,1952,331.0
Malaui,1952,369.1650802
Mozambique,1962,556.6863539
Nepal,1952,545.8657229
Afganistán,1972,739.9811058
Ruanda,1997,589.9445051
Angola,1967,5522.776375
Guinea Ecuatorial,1957,426.0964081
Eritrea,1952,328.9405571
Gambia,1967,734.7829124
Guinea,1962,686.3736739
Guinea Bissau,1967,715.5806402
República Centroafricana,1952,1071.310713
Sierra Leona,1972,1353.759762
Malí,1957,490.3821867
Yemen,1962,825.6232006
Somalia,1957,1258.147413
Burkina Faso,1957,617.1834648
Yibuti,1952,2669.529475
Guinea,1957,576.2670245
Guinea Bissau,1962,522.0343725
Guinea Ecuatorial,1952,375.6431231
Sierra Leona,1967,1206.043465
Etiopía,1952,362.1462796
Afganistán,1967,836.1971382
Angola,1962,4269.276742
Yemen,1957,804.8304547
Gambia,1962,599.650276
Mozambique,1957,495.5868333
Malí,1952,452.3369807
Guinea,1952,510.1964923
Guinea Bissau,1957,431.7904566
Somalia,1952,1135.749842
Sierra Leona,1962,1116.639877
Yemen,1952,781.7175761
Guinea Bissau,1952,299.850319
Gambia,1957,520.9267111
Angola,1957,3827.940465
Afganistán,1962,853.10071
Burkina Faso,1952,543.2552413
Sierra Leona,1957,1004.484437
Mozambique,1952,468.5260381
Camboya,1977,524.9721832
Afganistán,1957,820.8530296
Sierra Leona,1952,879.7877358
Angola,1952,3520.610273
Gambia,1952,485.2306591
Afganistán,1952,779.4453145
Ruanda,1992,737.0685949
